design_position,orientation_id,Theta_1,Theta_2,Phi,leverage
350,400,148.25,69.730000000000004,140.66999999999999,0.27564650557472548
351,289,102.93000000000001,44.140000000000001,144.09999999999999,0.2640468991191256
352,274,98.709999999999994,143.25999999999999,124.03,0.23954243584745333
353,132,51.079999999999998,143,25.719999999999999,0.27298588635471088
354,431,157.44999999999999,47.32,40.240000000000002,0.26927918890770614
355,185,68.319999999999993,159.02000000000001,132.84999999999999,0.23492168440741573
356,42,15.390000000000001,39.060000000000002,89.299999999999997,0.25224224924050193
357,87,34,23.359999999999999,39.700000000000003,0.21456011739690978
358,127,49.600000000000001,126.45,156.78,0.24797325053214053
359,293,105.3,152.31999999999999,103.43000000000001,0.18390957427856841
360,478,173.34,153.66999999999999,24.48,0.15858906834358158
361,14,4.8700000000000001,107.73,18.899999999999999,0.22240626592228485
362,35,11.67,63.25,178.50999999999999,0.260851499195909
363,269,97.159999999999997,34.509999999999998,150.41,0.2224260065172961
364,404,149.16999999999999,51.060000000000002,160.28,0.2755982647982993
365,299,106.27,153.65000000000001,143.25,0.23233650288332058
366,107,41.670000000000002,64,151.97999999999999,0.27964795058474012
367,33,10.699999999999999,157.52000000000001,106.23999999999999,0.13150301653848015
368,285,102.13,172.50999999999999,69.219999999999999,0.1869084062903395
369,101,39.479999999999997,171.52000000000001,75.219999999999999,0.24478234700305493
370,188,70.049999999999997,92.459999999999994,15.09,0.26073040497516298
371,247,92.510000000000005,47.109999999999999,136.15000000000001,0.23893708035712447
372,80,29.949999999999999,82.180000000000007,25.52,0.26921162473533244
373,493,178.44999999999999,30.329999999999998,37.399999999999999,0.12326357455287876
374,143,55.689999999999998,15.02,24.940000000000001,0.18769074687329101
375,145,56.380000000000003,27.32,134.28,0.24958812154546628
376,454,165.90000000000001,174.78999999999999,83.060000000000002,0.1521047082715114
377,158,59.159999999999997,142.38,131.18000000000001,0.24501246833023499
378,57,23.379999999999999,27.760000000000002,16,0.22147280226037858
379,480,173.90000000000001,67.120000000000005,99.310000000000002,0.17209059390697595
380,310,109.69,137.40000000000001,95.939999999999998,0.21930776564463256
381,160,59.969999999999999,174.25,9.9299999999999997,0.18848978364251134
382,366,135.90000000000001,39.950000000000003,131.81,0.23596157420334191
383,345,128.25,138.65000000000001,105.23999999999999,0.24008161546594473
384,434,157.90000000000001,137.56999999999999,27.359999999999999,0.21382178164901525
385,76,28.879999999999999,30.550000000000001,105.47,0.19827268495271549
386,84,32.950000000000003,132.49000000000001,88.790000000000006,0.2121026070007751
387,456,166.13,132.56,67.230000000000004,0.23988240282086437
388,272,97.959999999999994,60.109999999999999,98.359999999999999,0.24370287816968761
389,235,88.840000000000003,139.47,24.329999999999998,0.2252901482360839
390,249,93.230000000000004,65.140000000000001,110.48999999999999,0.23709178939331957
391,469,169.28,145.91,129.69,0.19132488528507116
392,421,154.66,0.98999999999999999,4.1399999999999997,0.17334995677824888
393,496,179.02000000000001,103.61,119.41,0.21821465234090723
394,99,38.579999999999998,41.420000000000002,20.370000000000001,0.22861859486450073
395,485,174.97,35.149999999999999,154.41,0.16393897452001488
396,427,156.63999999999999,153.63,109.98,0.16721105302040545
397,131,50.880000000000003,165.88,151.81999999999999,0.15858227270603975
398,220,83.140000000000001,9.2699999999999996,46.420000000000002,0.16956790399254362
399,104,41.140000000000001,157.03,107.25,0.21317226064441452
400,471,169.84,154.63,28.079999999999998,0.15716333679745143
401,144,56.369999999999997,133.50999999999999,79.170000000000002,0.22896560149608505
402,193,71.939999999999998,96.409999999999997,168.31,0.22900231636792984
403,424,155.75999999999999,22.68,107.84,0.19730842084107936
404,336,125.39,156.86000000000001,98.209999999999994,0.21359078656990449
405,497,179.28999999999999,131.03,175.03999999999999,0.14715701640459933
406,264,96.170000000000002,42.280000000000001,74.799999999999997,0.21834431804121568
407,315,113.05,173.03999999999999,101.5,0.12979204178475448
408,397,147.72,32.829999999999998,68.689999999999998,0.22022745841896404
409,256,94.969999999999999,50.18,145.34,0.21751865769258896
