training_points,removed_position,removed_orientation,removed_leverage,replacement_orientation,replacement_leverage,retained_rank,condition_number,worst_normalized_error,tolerance_headroom,tolerance_safety_factor,limiting_R,minimum_guardrail_prediction,any_guardrail_below_warning,strict_pass
161,140,408,0.30423336370472021,294,0.14745033504606417,158,49.929425612657354,0.40914476704810893,0.59085523295189102,2.4441226688899969,4.4000000000000004,5000.6775230375033,False,True
161,141,236,0.24165029129874027,294,0.14745033504606417,158,65.317103116798634,1.5453432486651648,-0.54534324866516481,0.64710542519519798,4.4000000000000004,5000.6695931569766,False,False
161,142,279,0.19697136710837843,294,0.14745033504606417,158,54.629765608948546,0.93973017137760961,0.060269828622390387,1.0641352490939362,4.4000000000000004,5000.63160092008,False,True
161,143,346,0.30464422183082407,294,0.14745033504606417,158,97.942443058279878,0.59468563712549605,0.40531436287450395,1.6815607063147731,4.4000000000000004,5000.7090349037517,False,True
161,144,187,0.1741866154366539,294,0.14745033504606417,158,69.596347164039216,1.7275858962058763,-0.72758589620587633,0.57884241946880888,4.4000000000000004,5000.6448225511695,False,False
161,145,52,0.22957544481064365,294,0.14745033504606417,158,49.482138425208809,0.64852686715110852,0.35147313284889148,1.541956163501546,4.4000000000000004,5000.7033040989145,False,True
161,146,5,0.161972280152412,294,0.14745033504606417,158,87.823874484822539,0.41954939513706441,0.58045060486293565,2.3835095738209935,4.4000000000000004,5000.0843877554034,False,True
161,147,173,0.16647290468145964,294,0.14745033504606417,158,49.686989898779416,0.50440428229794521,0.49559571770205479,1.9825366974369039,4.4000000000000004,5000.6916063402241,False,True
161,148,335,0.1945055355327347,294,0.14745033504606417,158,65.02676787797418,0.38231054203766313,0.61768945796233687,2.6156746676932743,4.4000000000000004,5000.5933432719667,False,True
161,149,387,0.22540078023207216,294,0.14745033504606417,158,82.527501856377654,1.3991787448361788,-0.39917874483617877,0.71470496796110483,4.4000000000000004,5000.6464055686074,False,False
161,150,277,0.24080554655711897,294,0.14745033504606417,158,54.31585053963115,0.6178644974758033,0.3821355025241967,1.6184778443904067,4.4000000000000004,5000.7125890491379,False,True
161,151,1,0.12210288150854566,294,0.14745033504606417,158,80.116218217076465,0.53584894681842632,0.46415105318157368,1.8661975654472125,4.4000000000000004,5000.6665810776904,False,True
161,152,30,0.13260795049655821,294,0.14745033504606417,158,72.917877312876129,0.44818746167775625,0.55181253832224375,2.2312092271760009,4.4000000000000004,5000.8020621058522,False,True
161,153,309,0.39553983638390178,294,0.14745033504606417,158,78.669517701395279,1.4467409510316414,-0.44674095103164135,0.69120874700264789,4.4000000000000004,5000.7810082242013,False,False
